64 18 40
../_Textures/StartMap/Tileset_Road.png 6 10
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
0.333333 0.100000 0.500000 0.200000
